camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Erotic Inclination Photo Studio,a1XVI00000FK5R72AL,3:00 & I,5,2,2,,,Erotic.Inclination,,,redacted@example.invalid,Union City,yes,,yes
Astro Cats,a1XVI00000FK8Qb2AL,8:00 & A,5,2,0,http://astrocatscamp.org,,,,,redacted@example.invalid,San Francisco,yes,,yes
FAFA Camp,a1XVI00000FKIGH2A5,5:15 & D,5,0,1,,,,,,,San Francisco,,,yes
The OG Pit,a1XVI00000FKPUg2AP,6:15 & C,5,0,0,,,https://www.facebook.com/groups/1457137018946732/,,,,Lake Havasu,yes,,yes
Tac-O-Cat,a1XVI00000FKamg2AD,3:00 & D,5,0,3,,,,,,,Meadow Vista,,,yes
Hibernaculum,a1XVI00000FKbHJ2A1,3:45 & B,5,0,0,,,,,,redacted@example.invalid,Grand Junction,yes,,yes
Signing Wanderers,a1XVI00000FKbQz2AL,6:15 & D,5,5,0,,,,,,,,,,yes
Camp Shark Cage,a1XVI00000FKcLR2A1,5:45 & C,5,0,0,,,CampSharkCage,,,,Sacramento,,,yes
No Stairway To Heaven,a1XVI00000FKcbZ2AT,9:15 & E,5,1,5,https://default.llc,,,,,redacted@example.invalid,Oakland,yes,,yes
Horny Camp,a1XVI00000FKgX72AL,8:30 & B,5,1,2,http://www.hornycamp.com,,groups,,,redacted@example.invalid,New York City,yes,yes,yes
Habitat for Insanity,a1XVI00000FKn8n2AD,5:00 & D,5,0,1,,,,,,redacted@example.invalid,"Pittsburgh, PA",yes,,yes
Dustfish,a1XVI00000FKoMb2AL,3:45 & Esp,5,1,2,http://dustfish.org,,,,,redacted@example.invalid,San Francisco,yes,,yes
Xoxo,a1XVI00000FKoT32AL,9:00 & B@ 3:45,5,3,1,,,,,,redacted@example.invalid,San Francisco,,,yes
Black Rock Disc Golf Club,a1XVI00000FLAOj2AP,2:00 & B& B,5,0,0,,,groups,,,redacted@example.invalid,Richmond,yes,,yes
Camp Castaway,a1XVI00000FLJDV2A5,8:00 & E,5,0,1,,,,,,,Reno,,,yes
Bungalow,a1XVI00000FLKJF2A5,7:45 & F,5,4,1,,,,,,,"Toronto, Canada",yes,,yes
Whiskey and Dust,a1XVI00000FLL412AH,7:45 & E,5,3,3,https://www.whiskeyanddust.org/,,,,,redacted@example.invalid,"Denver, Washington DC, Seattle and more",,,yes
Bao Chicka Wow Wow,a1XVI00000FLLaH2AX,4:00 & B,5,1,3,https://baochickawowwow.com/,,,,,redacted@example.invalid,San Francisco,yes,,yes
Word Play Cafe,a1XVI00000FLaB72AL,6:00 & G@ 12:45,5,1,0,https://wordplaycafe.org/,,,,,redacted@example.invalid,San Francisco,yes,,yes
Gyst,a1XVI00000FLeTF2A1,7:00 & A,5,1,2,http://www.gystburn.com/,,,,,,Sacramento,,,yes
Mighty Misfits,a1XVI00000FLeUr2AL,2:30 & D,5,1,4,,,,,,redacted@example.invalid,"Portland, OR",,,yes
Abominable Base Camp,a1XVI00000FLq4b2AD,8:30 & C,5,1,2,,,,,,,Tucson,,,yes
Stardust Lounge,a1XVI00000FLqhJ2AT,8:30 & B,5,0,2,https://stardustloungecamp.wixsite.com/stardust-lounge,,,,,redacted@example.invalid,San Francisco,yes,,yes
Good Question,a1XVI00000FLqxS2AT,4:15 & E,5,2,1,,,profile.php,,,redacted@example.invalid,San Francisco,yes,,yes
Vivarium,a1XVI00000FLywb2AD,6:15 & D,5,2,0,,,https://www.facebook.com/groups/216792538879959,,,redacted@example.invalid,Washington D.C.,yes,,yes
The Sultry Lodge,a1XVI00000FMCBZ2A5,4:45 & B,5,0,3,,,sultry.lodge,,,,Seattle,yes,,yes
BRC Snow Club,a1XVI00000FMDKX2A5,9:00 & Esp,5,0,2,http://www.brcsnow.club,brc_snowclub,2008,,,redacted@example.invalid,San Francisco,yes,,yes
Friendlandia,a1XVI00000FMJcr2AH,8:45 & A,5,0,0,,,friendlandia,,,,"Fremont, Ca",yes,,yes
Skrambles**!*,a1XVI00000FMMm12AH,9:00 & G@ 2:15,5,0,2,,,,,,,Denver,,,yes
Hotel Lobby,a1XVI00000FMOPd2AP,9:00 & E,5,0,5,https://hotellobby.camp/,hotellobbycamp,,,,redacted@example.invalid,San Francisco,yes,,yes
Religious As Fuck,a1XVI00000FMOzB2AX,3:15 & B,5,1,0,http://www.religiousafcamp.com,,2008,,,redacted@example.invalid,Sacramento,,yes,yes
Black Rock Travel Agency,a1XVI00000FMQkn2AH,Airport,5,0,1,http://blackrocktravelagency.com,,2008,,,redacted@example.invalid,San Fransisco,yes,,yes
Cocoon Society,a1XVI00000FMR5l2AH,4:45 & G,5,2,3,,,,,,,Anaheim,,,yes
Saints and Sinners,a1XVI00000FMTif2AH,4:15 & D,5,0,0,,,,,,,Munich,,,yes
Neodebauchery,a1XVI00000FMXfp2AH,3:15 & F,5,0,1,http://neodebauchery.com,,,,,,Reno,,,yes
Camp Truth or Dare,a1XVI00000FMbd02AD,5:45 & C,5,3,2,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Accult,a1XVI00000FMduv2AD,9:30 & A,5,4,0,https://www.accult.camp,,,,,,Brooklyn NY,yes,,yes
Partner Dance Adventures,a1XVI00000FMiTB2A1,CC@ 5:15,5,5,5,http://pdacamp.com,,groups,,,redacted@example.invalid,San Francisco,,,yes
Mansonian Institute 4 Urban Study,a1XVI00000FMizR2AT,6:30 & B,5,5,0,https://mansonian.org,,,,,redacted@example.invalid,San Francisco,yes,,yes
Fucking Joe Camp,a1XVI00000FMvob2AD,8:00 & B,5,1,3,,,,,,redacted@example.invalid,"San Jose, CA",yes,,yes
You Look Amazing,a1XVI00000FRQvR2AX,7:15 & C,5,3,1,,,,,,redacted@example.invalid,"Hermosa Beach, CA",,,yes
the Garage,a1XVI00000FRhmb2AD,8:45 & D,5,2,2,,https://www.instagram.com/thegaragebrc?igsh=NTc4MTIwNjQ2YQ==,,,,,"Topanga, Reno, San Fran, Hawaii",,,yes
ArtSled,a1XVI00000FTsij2AD,7:45 & D,5,5,0,,,,,,,Salt Lake City,yes,,yes
The MAN,,Epicenter,4,0,3,,,,,,,,,,
Dusty Speakeasy and Sanctuary,a1XVI00000FBQQ12AP,5:00 & C,4,0,3,,,,,,,Reno,yes,,yes
Wally's Cowboy Kitchen,a1XVI00000FC6Vd2AL,6:15 & A,4,1,0,,,,,,redacted@example.invalid,Houston,,,yes
Dusty Taint,a1XVI00000FCjqL2AT,3:00 & B@ 2:30,4,0,3,,,dustytaintofficial,,,redacted@example.invalid,Kernersville,,,yes
Mist Connections,a1XVI00000FDelN2AT,3:45 & B,4,0,1,,,,,,,San Francisco,,,yes
Antiix,a1XVI00000FEKJB2A5,7:45 & E,4,0,1,,,LudusSymposium,,,redacted@example.invalid,"Sacramento, CA",,,yes
Size Doesn't Matter,a1XVI00000FFaTx2AL,3:15 & E,4,0,0,,,,,,redacted@example.invalid,Reno,,,yes
Alice in Slumberland,a1XVI00000FHbc12AD,5:30 & C,4,0,2,,,,,,redacted@example.invalid,Milpitas (South bay),,,yes
Burning Sensation,a1XVI00000FHejZ2AT,5:45 & G,4,1,1,,,,,,redacted@example.invalid,New York City,,,yes
Alternative Energy Zone,a1XVI00000FHf692AD,3:30 & E,4,3,0,http://www.aez.green,,groups,,,redacted@example.invalid,Reno,yes,,yes
Kaif,a1XVI00000FI8g12AD,9:45 & C,4,2,3,,public_kaif_,,,,redacted@example.invalid,Odessa,yes,,yes
Naacb,a1XVI00000FIroP2AT,3:45 & D,4,1,3,,naacburners,,,,,New York,,,yes
Powder Palace,a1XVI00000FIry52AD,8:15 & B,4,2,2,,,,,,,Meadow Vista,,,yes
Ashram Galactica,a1XVI00000FJZiz2AH,9:00 & J,4,2,4,https://ashramgalactica.com/,ashramgalactica,ashramgalactica,ashramgalactica,,redacted@example.invalid,"Venice Beach , CA",,,yes
Some Camp!,a1XVI00000FJbPp2AL,6:30 & A,4,0,0,,,,,,,"Lake County, CA",,,yes
Children of Chaos,a1XVI00000FK1wz2AD,6:45 & C,4,0,1,https://chaoscamp.wordpress.com/,,,,,redacted@example.invalid,Reno,,,yes
Camp Nope,a1XVI00000FK2D72AL,5:45 & B,4,3,1,http://www.dynope.com,,,,,redacted@example.invalid,Oakland,,,yes
Sunset Lounge,a1XVI00000FK2OP2A1,9:30 & C,4,2,2,,,,,,,Tennessee,yes,,yes
Birthday Camp,a1XVI00000FK2Rd2AL,6:15 & C,4,0,1,,,,,,redacted@example.invalid,Sacramento,,,yes
No Drama Camp,a1XVI00000FK2hl2AD,4:15 & D,4,0,1,http://siliconvillageburners.org/,,,,,redacted@example.invalid,Santa Maria,yes,,yes
Art Haus,a1XVI00000FKR3R2AX,4:00 & E,4,3,2,http://www.arthausonplaya.com,art_haus_burn,ArtHausonPlaya,,UC7GDMg9RRjGASpl5RFlCHSw,redacted@example.invalid,San Francisco,yes,yes,yes
Frozen Oasis,a1XVI00000FKTBh2AP,4:45 & D,4,0,3,https://thedustcitysymphony.com,qodeinteractive,QodeInteractive,,,redacted@example.invalid,Richmond,,yes,yes
Lovin' Oven,a1XVI00000FKVS12AP,3:00 & B@ 5:00,4,1,2,http://www.desertmorning.org/,,,,,redacted@example.invalid,Reno,yes,,yes
Weird Steel,a1XVI00000FKVv32AH,9:00 & Esp,4,0,1,,,rearedinsteel,,,redacted@example.invalid,Petaluma,,,yes
Oh mi Gato Rat Cafe!,a1XVI00000FKWhR2AX,7:15 & D,4,2,0,,,,,,redacted@example.invalid,san francisco,,,yes
Après Ski Injury,,2:00 & B& B,4,0,2,https://apresskiinjury.net/,,,,,redacted@example.invalid,Vienna,,,
Combat Zone,a1XVI00000FKcV72AL,9:30 & A,4,2,1,,,,,,,Los Angeles,,,yes
Afterglow,a1XVI00000FKdUP2A1,4:45 & D,4,2,2,,,,,,,Murphys,,,yes
Burning Band Camp,a1XVI00000FKk2r2AD,7:00 & Esp,4,1,4,,,,,,,Corvallis,yes,,yes
Best Year Yet,a1XVI00000FKnLh2AL,9:00 & Esp,4,3,0,,,https://www.facebook.com/profile.php?id=61582790195548,,,,Reno,yes,,yes
Best Butt,a1XVI00000FLLvF2AX,8:45 & B,4,0,2,,https://www.instagram.com/bestbuttcamp/,bestbuttcamp,,,redacted@example.invalid,Seattle,,,yes
Interzone,a1XVI00000FLUdZ2AX,6:30 & B,4,2,1,https://www.campinterzone.com,,,,,,Indianapolis,yes,,yes
Salty Jacks,a1XVI00000FLf7Z2AT,9:00 & F,4,0,3,https://saltyjacks.wordpress.com/,,,,,,San Francisco United States California,,,yes
Snark Bar,a1XVI00000FLjPh2AL,9:00 & B@ 1:15,4,0,2,,,TheSnarkBar,,,,Reno,,,yes
Deep C,a1XVI00000FLqML2A1,7:30 & Esp,4,0,2,http://campdeepc.com,,groups,campdeepc,,redacted@example.invalid,Seattle,,,yes
Second Rodeo,a1XVI00000FLr3t2AD,8:30 & E,4,2,2,,xxsecondrodeoxx,,,,,Reno,,,yes
Phonic Bloom,a1XVI00000FLtVV2A1,3:45 & D,4,0,4,,,,,,,Boulder,,,yes
Burner Buddies,a1XVI00000FLu8D2AT,6:45 & B,4,0,1,,,groups,,,redacted@example.invalid,Palm Springs,,,yes
The Club,a1XVI00000FLuzR2AT,3:45 & D,4,0,3,http://theclub.camp/,,,,,redacted@example.invalid,New York City,yes,,yes
StarFist,a1XVI00000FM0aD2AT,3:30 & C,4,1,0,,,,,,redacted@example.invalid,New Orleans,yes,,yes
Camp Wwit,a1XVI00000FM1Xt2AL,6:30 & C,4,0,4,,campwwit,,,,redacted@example.invalid,New York,yes,,yes
Scotch & Hop,a1XVI00000FM2fH2AT,8:45 & E,4,0,0,,campscotchnhop,,,,,New York City,yes,,yes
Black Rock University,a1XVI00000FMFat2AH,8:30 & A,4,3,0,,,,,,redacted@example.invalid,Reno,,,yes
Bo_b Squad,a1XVI00000FMHuP2AX,2:2:00 & 00 B,4,0,3,,,,,,redacted@example.invalid,Reno,,,yes
Gigsville,a1XVI00000FMK2f2AH,5:00 & E,4,0,1,http://www.laburningman.com/theme-camps/gigsville/,laburningman,2008,,,redacted@example.invalid,Los Angeles,yes,,yes
Royal Honey,a1XVI00000FMLGT2A5,8:15 & B,4,1,3,,,,,,,San Carlos,,,yes
Mobility Camp,a1XVI00000FMM372AH,6:30 & A,4,3,0,https://www.mobilitycamp.org/,,,,,redacted@example.invalid,"Tucson, AZ",,,yes
Harmonic Convergence Camp,a1XVI00000FMNq92AH,4:15 & G,4,1,3,,,HarmonicConvergenceCamp,,,redacted@example.invalid,Solana Beach,,,yes
Mystopia,a1XVI00000FMOO12AP,6:30 & E,4,0,2,,mystopia.camp,,,,redacted@example.invalid,San Francisco,,,yes
MUSE (Maenad University),a1XVI00000FMPDd2AP,4:15 & E,4,2,0,,,,,,redacted@example.invalid,Alameda,yes,,yes
Wok Paper Scissors,a1XVI00000FMPn72AH,10:00 & I,4,0,3,,,,,,redacted@example.invalid,Los Angeles,,,yes
Square One,a1XVI00000FMPtZ2AX,4:00 & D,4,0,0,,,SquareOneCamp,,,redacted@example.invalid,Los Angeles,yes,,yes
Dreamery,a1XVI00000FMQw52AH,6:00 & G@ 3:45,4,1,1,https://dreamery.cc,,,,,redacted@example.invalid,"Laguna Niguel, Irvine, San Diego, Kiev",,,yes
Entheos Community Village,a1XVI00000FMSpp2AH,9:15 & Esp,4,3,1,http://www.entheosrising.org,entheosrising,2008,,,redacted@example.invalid,San Francisco Bay Area,yes,yes,yes
Twisted Swan Celtic pub,a1XVI00000FMTVl2AP,8:30 & E,4,0,1,https://www.twistedswan.com/,,groups,,,redacted@example.invalid,Albuquerque,yes,,yes
Global Camp,a1XVI00000FMTlt2AH,6:15 & F,4,3,3,,,,,,,Ashland,yes,,yes
Cabana Club,a1XVI00000FMe9R2AT,4:00 & B,4,0,4,,,BlackRockCabanas,,,redacted@example.invalid,Denver,,,yes
Cockpit,a1XVI00000FMhQf2AL,6:45 & B,4,0,2,,,,,,,New York City,,,yes
Mission Country Club,a1XVI00000FMm8b2AD,7:00 & D,4,1,3,http://missioncountryclub.com,,,,,redacted@example.invalid,San Francisco,,,yes
Camp LandHO!,a1XVI00000FOYMT2A5,2:00 & E,4,0,4,https://daydreamfamily.group/land-ho,,,,,redacted@example.invalid,"Zephyr Cove, NV",yes,,yes
Nipple Pie,a1XVI00000FP2sP2AT,3:00 & E,4,0,4,,,nipnippyfamily,,,redacted@example.invalid,Brooklyn,,,yes
Wrongtown,a1XVI00000FQsyb2AD,6:45 & E,4,1,1,https://wrongtown.xyz,,,,,redacted@example.invalid,Fresno,yes,,yes
Black Rock Labs The Expanse,a1XVI00000FWp5B2AT,2:15 & H,4,4,0,http://blackrocklabs.org,,WordPresscom,,,redacted@example.invalid,San Francisco,,,yes
Guano Loco Lounge,a1XVI00000FBzp72AD,2:15 & B,3,0,2,,,,,,redacted@example.invalid,Grand Junction,,,yes
Bag o' Dicks,a1XVI00000FCDqT2AX,2:45 & B,3,0,0,,,,,,redacted@example.invalid,chicago,yes,,yes
The Crusty Swan,a1XVI00000FCGbR2AX,6:00 & F,3,0,0,,,groups,,,redacted@example.invalid,"Felton, CA",yes,,yes
Cheezy Oasis,a1XVI00000FEHef2AH,7:00 & E,3,0,0,https://cheezyoasis.com/,,,,,redacted@example.invalid,Las Vegas,yes,,yes
Cult of the Magic Lady,a1XVI00000FEccf2AD,7:15 & A,3,1,1,,,cultofthemagiclady,,,,Oakland,yes,,yes
Grateful Burners,a1XVI00000FEs1V2AT,3:30 & B,3,0,1,,,,,,,"Bay Area, CA",,,yes
Fantastic Sams,a1XVI00000FEsaz2AD,6:45 & E,3,0,0,,,,,,,Denver,,,yes
DragonCamp Armory,a1XVI00000FG6C52AL,7:30 & F,3,1,1,,,,,,redacted@example.invalid,Fountain Valley,yes,,yes
Future Turtles,a1XVI00000FHGfd2AH,7:00 & E,3,0,0,https://futureturtles.com,,,,,redacted@example.invalid,New York,,,yes
Foam Home presents FOAMADELIC,a1XVI00000FHRHh2AP,9:30 & E,3,2,1,,,,,,,San Diego,,,yes
CatLand,a1XVI00000FHYRF2A5,3:45 & D,3,0,1,,,,,,,Sacramento,yes,,yes
X marks the spot,a1XVI00000FHZ0j2AH,4:30 & H,3,0,0,,,,,,,Orangevale,yes,,yes
Prismaticamp,a1XVI00000FI8jF2AT,4:45 & G,3,1,0,http://www.prismaticamp.org,,,,,,Tacoma,,,yes
rEVOLUTION,a1XVI00000FJ0Of2AL,3:15 & B,3,2,1,,,,,,,"Los Angeles, Amsterdam, Finland, Costa Rica",yes,,yes
Wetspot,a1XVI00000FJ2Gn2AL,4:30 & B@ 9:45,3,0,3,,,,,,redacted@example.invalid,Reno,yes,,yes
Sunrise Tavern,a1XVI00000FJ2K12AL,2:30 & E,3,0,3,,,,,,,Reno,,,yes
Blood & Sugar,a1XVI00000FJNzZ2AX,2:45 & F,3,2,0,,,,,,,San Francisco,,,yes
Apokalyptika,a1XVI00000FJaQX2A1,8:15 & A,3,0,2,https://www.kampapokalyptika.com/,https://www.instagram.com/kampapokalyptika,,,,redacted@example.invalid,San Francisco,yes,,yes
Teddies,a1XVI00000FJbKz2AL,4:30 & B@ 8:15,3,0,1,http://teddiesburn.com,,,,,redacted@example.invalid,San Francisco,,,yes
Cognitive Research Institute,a1XVI00000FJbOD2A1,7:15 & C,3,1,0,https://starsailorart.com/cri,,,,,,Santa Cruz,yes,,yes
Camp Orange,a1XVI00000FJmMr2AL,5:30 & B,3,1,0,,camporange_playaofficial,,,,,San Francisco,,,yes
PhoCureBurn,a1XVI00000FJuQr2AL,4:45 & C,3,0,0,https://www.phocureburn.com/,phocureburn,phocureburn,,,redacted@example.invalid,"Washington, DC",,,yes
Dicey Side Quests,a1XVI00000FJxBp2AL,7:15 & D,3,0,3,,,,,,redacted@example.invalid,"Brooklyn, NY",,,yes
Mudskippers,a1XVI00000FK1Yn2AL,6:45 & C,3,1,3,http://www.mudskippercafe.com,mudskipperscafe,,,,redacted@example.invalid,Los Angeles,yes,,yes
Camp Shutterbuggy,a1XVI00000FK2Q12AL,7:15 & E,3,0,3,,,groups,,,redacted@example.invalid,"Vancouver, BC",,,yes
Acorn Oasis,a1XVI00000FK3Nh2AL,6:30 & F,3,0,0,,,,,,redacted@example.invalid,"Long Beach, CA",yes,,yes
Black Rock Sauna Society,a1XVI00000FKEj92AH,6:00 & G@ 9:45,3,0,0,https://eldis.fi/black-rock-sauna-society/,,groups,,,redacted@example.invalid,Helsinki,yes,,yes
706 Tribe,a1XVI00000FKbM92AL,6:15 & G,3,0,1,https://706tribe.com/en/,,,,,redacted@example.invalid,San Francisco,,,yes
Camp Bean Water,a1XVI00000FKdHV2A1,6:15 & C,3,0,0,https://campbeanwater.com,,,,,redacted@example.invalid,Cincinnati,,,yes
Inappropirates,a1XVI00000FKdJ72AL,7:30 & B@ 11:00,3,0,0,http://inappropirates.com/,https://www.google.com/url?q=https://www.instagram.com/inappropirates/&sa=D&source=docs&ust=1773536336160614&usg=AOvVaw1WWHN6w1xZwoNPu7fR2avc,,,,redacted@example.invalid,Oakland,,,yes
U.f.o.,a1XVI00000FKnNJ2A1,7:45 & E,3,0,2,,,uforesponseteamBM,,,,Oakland,yes,,yes
The Key Camp,a1XVI00000FKnjt2AD,3:15 & D,3,0,0,,,,,,,Los Angeles,,,yes
Quarks and Recreation,a1XVI00000FKnn72AD,7:15 & B,3,0,0,,,,,,redacted@example.invalid,Berkeley,,,yes
Bioluminati (Bike Mutation),a1XVI00000FKoJN2A1,7:45 & D,3,0,1,http://www.bioluminati.org,,https://www.facebook.com/profile.php?id=100077392066948,,,redacted@example.invalid,"Grass Valley, CA",yes,,yes
Honey Puddle,a1XVI00000FL6Un2AL,CC@ 1:15,3,1,0,http://honeypuddle.info,,,,,,Los Angeles,,,yes
Camp Equilibrium,a1XVI00000FLFrR2AX,8:45 & C,3,1,2,https://equilibrium.camp,,,,,redacted@example.invalid,"Northen California, Bay Area, Sacramento, Canada, Florida, Australia",,,yes
Astral Outpost,a1XVI00000FLIXZ2A5,3:00 & C,3,0,3,https://www.astraloutpost.com/,,,,,,London,,,yes
Dust Circus,a1XVI00000FLJwf2AH,7:45 & C,3,0,2,,,dustcircus,,,redacted@example.invalid,Santa Clara,,,yes
Sparkle Love,a1XVI00000FLKfp2AH,7:45 & C,3,0,0,,,,,,redacted@example.invalid,,,,yes
End of the Line,a1XVI00000FLL8r2AH,4:15 & F,3,0,3,,,,,,,"Sonora, California",,,yes
SonicBoom Saloon,a1XVI00000FLLC52AP,3:00 & Esp,3,1,0,,,,,,redacted@example.invalid,Provo,,,yes
Worst Bar,a1XVI00000FLLOz2AP,8:45 & B,3,1,0,,,,,,,Los Angeles,,,yes
PlayAground,a1XVI00000FLfyn2AD,2:30 & A,3,1,0,,,,,,,Healdsburg,,,yes
Shitty Glitter,a1XVI00000FLh9N2AT,8:30 & D,3,0,2,http://www.shittyglitter.com,sh.ttyglitter,2008,,,redacted@example.invalid,New York City,,,yes
Half Baked,a1XVI00000FLpBl2AL,4:45 & A,3,1,0,,,,,,redacted@example.invalid,Loomis,,,yes
Giraffelot,a1XVI00000FLpen2AD,7:30 & G@ 8:15,3,0,2,,,,,,redacted@example.invalid,San Francisco,,,yes
Champagne Lounge,a1XVI00000FLpoT2AT,5:45 & C,3,0,3,,,Champagnelounge,,,redacted@example.invalid,Reno,,,yes
Tour de Chance,a1XVI00000FLptJ2AT,4:00 & C,3,0,0,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Ignited States,a1XVI00000FLqJ72AL,4:15 & E,3,0,2,,,profile.php,,,redacted@example.invalid,Phoenix,,,yes
Camp SnuggleFunk,a1XVI00000FLqpN2AT,4:15 & C,3,0,1,,,,,,,Reno,,,yes
SnowKoanSolar,a1XVI00000FLr2H2AT,9:00 & E,3,0,0,https://www.snowkoansolar.org,,,,,,San Francisco,yes,,yes
Camp Tidy,a1XVI00000FLrQT2A1,4:15 & F,3,0,2,,,,,,redacted@example.invalid,los angeles,,,yes
Black Rock City Shipyard,a1XVI00000FLuxp2AD,9:45 & D,3,0,2,,,,,,redacted@example.invalid,"New York, NY",yes,,yes
Camp Scone Fucker,a1XVI00000FLwtB2AT,6:00 & E,3,0,0,,,profile.php,,,redacted@example.invalid,Reno,yes,,yes
Honkers Harbor,a1XVI00000FM0n72AD,8:15 & D,3,1,1,,,,,,redacted@example.invalid,Portland,yes,,yes
Kamp Kaos,a1XVI00000FM5gL2AT,4:00 & A,3,0,0,,,,,,,Boston,,,yes
Preservation Society,a1XVI00000FMCgd2AH,3:30 & A,3,0,2,,,PreservationSocietyCommunity,,,,London,,,yes
Om Skillet,a1XVI00000FMDvd2AH,4:15 & F,3,0,2,,,,,,,Los Angeles,,,yes
Rippers Row,a1XVI00000FMME92AP,3:00 & Esp,3,0,3,,rippers_row,,,,redacted@example.invalid,"Austin, TX",yes,,yes
Dusty Dillas,a1XVI00000FMMUH2A5,5:15 & F,3,0,0,,dusty_dillas,,,,redacted@example.invalid,Reno,,,yes
Zazen,a1XVI00000FMMkP2AX,4:00 & E,3,0,1,,,,,,,Park City,,,yes
Siren's Cove,a1XVI00000FMMyv2AH,3:15 & C,3,0,0,,,sincityvillage,,,redacted@example.invalid,Las Vegas,,,yes
NYC Deli,a1XVI00000FMNF32AP,8:45 & D,3,0,1,https://www.campnycdeli.org,,,,,redacted@example.invalid,NYC,yes,,yes
Camp Fucking Magical,a1XVI00000FMNJt2AP,4:45 & F,3,0,0,,,,,,redacted@example.invalid,Reno,,,yes
Uli Baba & the Horny Thieves,a1XVI00000FMNWo2AP,4:15 & A,3,1,1,http://www.ulibabas.com,,UliBabas,,,,San Diego,,,yes
fruitPOP,a1XVI00000FMNYP2A5,6:45 & E,3,0,3,https://www.campfruitpop.com/,campfruitpop,groups,,,redacted@example.invalid,Los Angeles,,,yes
Snack Shack,a1XVI00000FMNi52AH,2:45 & B,3,1,0,,snack____attack,,,,redacted@example.invalid,"Bellingham, Wa",yes,,yes
The Pleasure Dairy,a1XVI00000FMNyD2AX,4:15 & F,3,0,1,,pleasuredairybm,,,,,San Francisco,yes,,yes
8-bit Bunny,a1XVI00000FMPC12AP,7:00 & E,3,0,3,https://burn.8bitbunny.com/,8.bit.bunny,groups,,,redacted@example.invalid,Oakland,yes,,yes
New Desert Outpost,a1XVI00000FMPbp2AH,4:15 & F,3,0,0,http://newdesertoutpost.com/,,,,,redacted@example.invalid,"Oakland, CA",,,yes
Playa Circuit Boogie,a1XVI00000FMPvB2AX,4:45 & C,3,1,0,https://www.playacircuitboogie.com/,,,,,,San Francisco,,,yes
The Institute,a1XVI00000FMQT32AP,4:30 & E,3,1,1,,,,,,,San Francisco,,,yes
Dr. Carl's Collection of Depts.,a1XVI00000FMQpd2AH,6:00 & Esp,3,2,0,https://www.drcarlscamp.com/,,,,,redacted@example.invalid,Portland,,,yes
Beats 'n Deets,a1XVI00000FMR7N2AX,6:30 & B,3,0,2,,,,,,redacted@example.invalid,Sydney,,,yes
Fomo Playalounge,a1XVI00000FMSbJ2AX,9:00 & Esp,3,0,3,,,,,,redacted@example.invalid,Los Angeles,,,yes
Vibe Check,a1XVI00000FMU0P2AX,3:45 & D,3,0,1,,,,,,redacted@example.invalid,Milwaukee,,,yes
Mara,a1XVI00000FMUhx2AH,9:30 & F,3,0,0,,https://www.instagram.com/nasha.mara?igsh=bnBlbndyNWtxOXlq,,,,redacted@example.invalid,Minsk,,,yes
Fresh Squeezed!,a1XVI00000FMaDt2AL,5:00 & B,3,0,1,https://lemonade.art,,,,,redacted@example.invalid,Austin,yes,,yes
Mountain Mayhem,a1XVI00000FMbI12AL,8:45 & C,3,0,2,,,mountainmayhem,,,redacted@example.invalid,Durango,,,yes
Camp Hot Cheeks,a1XVI00000FMem92AD,8:15 & B,3,0,0,,,,,,redacted@example.invalid,New York City,,,yes
Baconeers,a1XVI00000FMjdl2AD,3:00 & D,3,0,3,http://www.thebaconeers.com,,,,,redacted@example.invalid,Reno,yes,,yes
LAF Lazy-Ass Fuckers,a1XVI00000FMpkn2AD,6:30 & B,3,0,0,,,,,,,Aspen,yes,,yes
Daydream,a1XVI00000FMwRJ2A1,2:15 & E,3,3,0,https://www.daydream.family,,,,,redacted@example.invalid,"Zephyr Cove, Nevada",yes,,yes
Zero Fucks,a1XVI00000FOaHp2AL,9:30 & B,3,0,3,,,,,,redacted@example.invalid,San Francisco,,,yes
...cats,a1XVI00000FP3DN2A1,4:00 & Esp,3,0,2,https://star.cats.camp,,,,,,San Francisco,,,yes
ARTery Pavilion,a1XVI00000FSXms2AH,6:15 & Esp,3,3,0,https://burningman.org/event/preparation/black-rock-city-guide/infrastructure/the-artery/,burningman,burningman,,,redacted@example.invalid,Black Rock City,,,yes
Census,a1XVI00000FSXn22AH,6:30 & Esp,3,3,0,https://census.burningman.org,burningman,burningman,,,redacted@example.invalid,Reno,,,yes
Breakaway Republic,a1XVI00000FSYSk2AP,6:15 & Esp,3,0,0,,,,,,,"San Francisco, CA",yes,,yes
Solid City,a1XVI00000FTD4T2AX,6:15 & D,3,1,1,,,,,,redacted@example.invalid,New York City,,,yes
Frizz,a1XVI00000FV6QH2A1,4:45 & D,3,1,0,,,,,,redacted@example.invalid,"Seattle, Chicago, Detroit, LA",,,yes
Love Tripping,a1XVI00000FWujB2AT,8:45 & F,3,2,0,http://www.lovetripping.org,,,,,redacted@example.invalid,Oakland,,,yes
Gritty Garden,a1XVI00000FY5B72AL,5:15 & B,3,0,0,https://grittygarden.com/,,,,,,Temecula,yes,,yes
Booboos Gaagoos,a1XVI00000Fvukn2AB,6:45 & D,3,0,0,,,,,,,Seattle,,,yes
